uptime_id,ts,site_count,ts_updated
3504,"2018-10-25 06:00:00",25,"2018-10-25 09:00:00"
3503,"2018-10-25 04:30:00",23,"2018-10-25 05:30:00"
3502,"2018-10-25 03:30:00",24,"2018-10-25 04:00:00"
3501,"2018-10-25 02:00:00",23,"2018-10-25 03:00:00"
3500,"2018-10-25 01:30:00",24,"2018-10-25 01:30:00"
3499,"2018-10-24 20:00:00",23,"2018-10-25 01:00:00"
3498,"2018-10-24 13:00:00",24,"2018-10-24 19:30:00"
3497,"2018-10-24 12:30:00",20,"2018-10-24 12:30:00"
3496,"2018-10-24 07:30:00",12,"2018-10-24 07:30:00"
3495,"2018-10-24 07:00:00",23,"2018-10-24 07:00:00"
3494,"2018-10-24 06:30:00",24,"2018-10-24 06:30:00"
3493,"2018-10-24 06:00:00",23,"2018-10-24 06:00:00"
3492,"2018-10-24 05:30:00",22,"2018-10-24 05:30:00"
3491,"2018-10-24 05:00:00",23,"2018-10-24 05:00:00"
3490,"2018-10-24 04:00:00",24,"2018-10-24 04:30:00"
3489,"2018-10-24 02:30:00",23,"2018-10-24 03:30:00"
3488,"2018-10-24 01:30:00",22,"2018-10-24 02:00:00"
3487,"2018-10-24 00:30:00",23,"2018-10-24 01:00:00"
3486,"2018-10-23 21:00:00",22,"2018-10-24 00:00:00"
3485,"2018-10-23 20:00:00",23,"2018-10-23 20:30:00"
3484,"2018-10-23 19:00:00",22,"2018-10-23 19:30:00"
3483,"2018-10-23 18:30:00",23,"2018-10-23 18:30:00"
3482,"2018-10-23 18:00:00",22,"2018-10-23 18:00:00"
3481,"2018-10-23 17:00:00",23,"2018-10-23 17:30:00"
3480,"2018-10-23 13:30:00",24,"2018-10-23 16:30:00"
3479,"2018-10-23 13:00:00",23,"2018-10-23 13:00:00"
3478,"2018-10-23 12:30:00",22,"2018-10-23 12:30:00"
3477,"2018-10-23 12:00:00",23,"2018-10-23 12:00:00"
3476,"2018-10-23 11:30:00",22,"2018-10-23 11:30:00"
3475,"2018-10-23 10:00:00",23,"2018-10-23 11:00:00"
3474,"2018-10-23 08:30:00",22,"2018-10-23 09:30:00"
3473,"2018-10-23 08:00:00",20,"2018-10-23 08:00:00"
3472,"2018-10-23 05:30:00",21,"2018-10-23 07:30:00"
3471,"2018-10-23 05:00:00",22,"2018-10-23 05:00:00"
3470,"2018-10-23 04:30:00",21,"2018-10-23 04:30:00"
3469,"2018-10-23 04:00:00",20,"2018-10-23 04:00:00"
3468,"2018-10-23 02:00:00",22,"2018-10-23 03:30:00"
3467,"2018-10-23 00:00:00",21,"2018-10-23 01:30:00"
3466,"2018-10-22 23:00:00",22,"2018-10-22 23:30:00"
3465,"2018-10-22 21:00:00",21,"2018-10-22 22:30:00"
3464,"2018-10-22 20:30:00",20,"2018-10-22 20:30:00"
3463,"2018-10-22 18:00:00",21,"2018-10-22 20:00:00"
3462,"2018-10-22 17:30:00",22,"2018-10-22 17:30:00"
3461,"2018-10-22 12:30:00",23,"2018-10-22 17:00:00"
3460,"2018-10-22 12:00:00",0,"2018-10-22 12:00:00"
3459,"2018-10-21 06:30:00",0,"2018-10-21 07:00:00"
3458,"2018-10-21 06:00:00",11,"2018-10-21 06:00:00"
3457,"2018-10-21 04:00:00",21,"2018-10-21 05:30:00"
3456,"2018-10-21 03:00:00",20,"2018-10-21 03:30:00"
3455,"2018-10-20 22:00:00",21,"2018-10-21 02:30:00"
3454,"2018-10-20 21:00:00",22,"2018-10-20 21:30:00"
3453,"2018-10-20 20:00:00",23,"2018-10-20 20:30:00"
3452,"2018-10-20 13:30:00",22,"2018-10-20 19:30:00"
3451,"2018-10-20 12:30:00",21,"2018-10-20 13:00:00"
3450,"2018-10-20 08:30:00",22,"2018-10-20 12:00:00"
3449,"2018-10-20 06:30:00",21,"2018-10-20 08:00:00"
3448,"2018-10-20 06:00:00",20,"2018-10-20 06:00:00"
3447,"2018-10-20 04:00:00",21,"2018-10-20 05:30:00"
3446,"2018-10-20 03:30:00",22,"2018-10-20 03:30:00"
3445,"2018-10-20 02:30:00",21,"2018-10-20 03:00:00"
3444,"2018-10-19 14:30:00",22,"2018-10-20 02:00:00"
3443,"2018-10-19 13:30:00",21,"2018-10-19 14:00:00"
3442,"2018-10-19 12:00:00",20,"2018-10-19 13:00:00"
3441,"2018-10-19 11:30:00",0,"2018-10-19 11:30:00"
3440,"2018-10-17 06:30:00",0,"2018-10-17 10:00:00"
3439,"2018-10-17 06:00:00",11,"2018-10-17 06:00:00"
3438,"2018-10-17 05:30:00",20,"2018-10-17 05:30:00"
3437,"2018-10-16 14:00:00",21,"2018-10-17 05:00:00"
3436,"2018-10-16 13:30:00",20,"2018-10-16 13:30:00"
3435,"2018-10-16 13:00:00",19,"2018-10-16 13:00:00"
3434,"2018-10-16 12:00:00",22,"2018-10-16 12:30:00"
3433,"2018-10-16 11:30:00",19,"2018-10-16 11:30:00"
3432,"2018-10-16 10:30:00",20,"2018-10-16 11:00:00"
3431,"2018-10-16 10:00:00",16,"2018-10-16 10:00:00"
3430,"2018-10-16 09:30:00",9,"2018-10-16 09:30:00"
3429,"2018-10-15 19:30:00",2,"2018-10-16 09:00:00"
3428,"2018-10-15 19:00:00",21,"2018-10-15 19:00:00"
3427,"2018-10-15 12:00:00",22,"2018-10-15 18:30:00"
3426,"2018-10-15 11:30:00",21,"2018-10-15 11:30:00"
3425,"2018-10-15 10:00:00",22,"2018-10-15 11:00:00"
3424,"2018-10-15 09:30:00",21,"2018-10-15 09:30:00"
3423,"2018-10-14 19:00:00",22,"2018-10-15 09:00:00"
3422,"2018-10-14 17:00:00",21,"2018-10-14 18:30:00"
3421,"2018-10-14 16:30:00",20,"2018-10-14 16:30:00"
3420,"2018-10-14 09:00:00",21,"2018-10-14 16:00:00"
3419,"2018-10-14 05:30:00",22,"2018-10-14 08:30:00"
3418,"2018-10-14 03:30:00",21,"2018-10-14 05:00:00"
3417,"2018-10-14 02:30:00",22,"2018-10-14 03:00:00"
3416,"2018-10-13 09:00:00",21,"2018-10-14 02:00:00"
3415,"2018-10-13 03:00:00",22,"2018-10-13 08:30:00"
3414,"2018-10-13 02:00:00",21,"2018-10-13 02:30:00"
3413,"2018-10-13 00:30:00",22,"2018-10-13 01:30:00"
3412,"2018-10-13 00:00:00",21,"2018-10-13 00:00:00"
3411,"2018-10-12 23:00:00",22,"2018-10-12 23:30:00"
3410,"2018-10-11 23:30:00",21,"2018-10-12 22:30:00"
3409,"2018-10-11 22:00:00",22,"2018-10-11 23:00:00"
3408,"2018-10-11 16:00:00",21,"2018-10-11 21:30:00"
3407,"2018-10-11 15:30:00",14,"2018-10-11 15:30:00"
3406,"2018-10-11 14:00:00",20,"2018-10-11 15:00:00"
3405,"2018-10-11 13:00:00",16,"2018-10-11 13:30:00"
3404,"2018-10-11 12:00:00",14,"2018-10-11 12:30:00"
3403,"2018-10-11 11:30:00",13,"2018-10-11 11:30:00"
3402,"2018-10-11 11:00:00",10,"2018-10-11 11:00:00"
3401,"2018-10-11 08:00:00",20,"2018-10-11 10:30:00"
3400,"2018-10-11 06:00:00",21,"2018-10-11 07:30:00"
3399,"2018-10-10 21:00:00",20,"2018-10-11 05:30:00"
3398,"2018-10-10 08:00:00",21,"2018-10-10 20:30:00"
3397,"2018-10-10 05:00:00",22,"2018-10-10 07:30:00"
3396,"2018-10-10 00:00:00",21,"2018-10-10 04:30:00"
3395,"2018-10-09 23:00:00",31,"2018-10-09 23:30:00"
3394,"2018-10-09 14:00:00",30,"2018-10-09 22:30:00"
3393,"2018-10-09 13:30:00",27,"2018-10-09 13:30:00"
3392,"2018-10-09 12:00:00",26,"2018-10-09 13:00:00"
3391,"2018-10-09 11:30:00",24,"2018-10-09 11:30:00"
3390,"2018-10-09 11:00:00",4,"2018-10-09 11:00:00"
3389,"2018-10-09 07:00:00",0,"2018-10-09 10:30:00"
3388,"2018-10-09 06:30:00",2,"2018-10-09 06:30:00"
3387,"2018-10-09 04:00:00",22,"2018-10-09 06:00:00"
3386,"2018-10-09 03:00:00",21,"2018-10-09 03:30:00"
3385,"2018-10-09 02:30:00",20,"2018-10-09 02:30:00"
3384,"2018-10-08 16:00:00",21,"2018-10-09 02:00:00"
3383,"2018-10-08 15:00:00",22,"2018-10-08 15:30:00"
3382,"2018-10-08 09:30:00",21,"2018-10-08 14:30:00"
3381,"2018-10-08 00:00:00",22,"2018-10-08 09:00:00"
